               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.038613,            0.083828,            0.034079,              0.5684,              0.6279,             0.67994,             0.37165,            0.038824,             0.17721,            0.031502,           0.0066835,           0.0066835,           0.0066835
                 136,             0.04164,            0.090454,            0.034677,             0.61411,             0.66198,             0.70139,             0.41602,            0.035002,              0.1769,            0.031351,           0.0066587,           0.0066587,           0.0066587
                 137,            0.037649,            0.084621,            0.034215,             0.61861,             0.63816,             0.69522,             0.38328,            0.036496,             0.17791,            0.031522,            0.006634,            0.006634,            0.006634
                 138,            0.041018,            0.089678,            0.032976,             0.60062,             0.64701,             0.69276,             0.40161,            0.035518,             0.17266,            0.031407,           0.0066092,           0.0066092,           0.0066092
                 139,            0.041137,            0.090347,            0.034397,             0.59932,             0.64073,             0.70537,             0.37106,            0.040155,             0.17647,            0.031328,           0.0065845,           0.0065845,           0.0065845
                 140,            0.040388,            0.087995,            0.032945,             0.65022,             0.67547,             0.73954,             0.40541,            0.038874,             0.18066,            0.031281,           0.0065598,           0.0065598,           0.0065598
                 141,            0.041398,            0.086358,             0.03448,             0.60185,             0.67813,             0.71575,             0.42478,            0.034481,             0.17407,            0.030991,            0.006535,            0.006535,            0.006535
                 142,            0.037495,            0.084022,            0.033514,             0.58345,             0.65733,             0.71814,              0.3973,            0.035894,             0.17896,            0.031406,           0.0065102,           0.0065102,           0.0065102
                 143,            0.039693,            0.089434,            0.033815,             0.59815,             0.67085,             0.72266,             0.42013,            0.034284,             0.17509,            0.031541,           0.0064855,           0.0064855,           0.0064855
                 144,            0.038471,            0.090279,             0.03436,             0.62724,             0.68059,             0.74653,             0.41328,            0.038115,             0.18401,            0.031797,           0.0064608,           0.0064608,           0.0064608
